Name,SpTopt,SpTnir,SpT,GravOpt,GravNIR,Binary,Young,PS1,PS1gmag,e_PS1gmag,PS1rmag,e_PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,AllWISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Gmag,e_Gmag,RAJ2000,DEJ2000,PS1ep,Epoch,pmRA,e_pmRA,pmDE,e_pmDE,pm,e_pm,pmPA,e_pmPA,plx,e_plx,Dist,e_Dist,vtan,e_vtan
SDSS_J000013.54+255418.6   ,T5         ,T4.5             ,T4.5           ,     ,      ,      ,    ,J000.0563+25.9054,     ,     ,     ,     ,     ,     ,19.17,0.01,17.42,0.01,J00001354+2554180,15.06,0.04,14.73,0.12,14.84,0.12,                   ,     ,     ,     ,     ,     ,     ,     ,     ,0.0564,25.905389,2010.354223,55326.38,-18.4,5.5,123.1,3.3,124.5,3.4,351.5,2.5,70.8,1.9,14.12,0.38,8.3,0.3
SDSS_J000112.18+153535.5   ,           ,L3.7INT-G        ,L3.7INT-G      ,     ,INT-G ,      ,Y   ,J000.3012+15.5925,     ,     ,     ,     ,20.37,0.01,18.85,0.02,17.81,0.01,J00011217+1535355,15.52,0.06,14.51,0.04,13.71,0.04,J000112.27+153533.6,12.97,0.02,12.54,0.02,11.67,0.24,     ,     ,0.301175,15.592648,2011.516632,55750.95,137.3,2.2,-181.2,2.8,227.3,2.6,142.8,0.6,      ,     ,24.34,2.93,26.2,3.2
WISEA_J000131.93-084126.9  ,           ,L1pec(blue)      ,L1pec(blue)    ,     ,      ,      ,    ,J000.3831-08.6909,     ,     ,     ,     ,20.21,0.03,18.57,0.01,17.57,0.01,J00013166-0841234,15.71,0.05,15.03,0.09,14.7,0.09,J000131.93-084127.2,14.34,0.03,13.99,0.05,12.36,     ,20.39,0.02,0.38313,-8.690953,2011.193046,55632.76,339.9,2.6,-304.9,3.3,456.6,2.9,131.9,0.4,      ,     ,       ,      ,      ,     
SDSS_J000250.98+245413.8   ,           ,L5.5             ,L5.5           ,     ,      ,      ,    ,J000.7124+24.9037,     ,     ,     ,     ,22.3,0.08,20.3,0.04,19.31,0.03,J00025097+2454141,17.17,0.22,16.06,0.22,15.66,0.22,J000250.98+245413.6,14.82,0.03,14.57,0.06,11.73,     ,     ,     ,0.712466,24.903795,2010.306694,55309.02,22.4,17.4,-45.6,7.2,50.8,9.9,153.8,17.6,      ,     ,53.33,6.54,12.8,3
2MASSI_J0003422-282241     ,M7.5       ,M7:FLD-G         ,M7.5           ,     ,FLD-G ,      ,    ,J000.9273-28.3785,20.92,0.03,19.41,0.01,16.77,0.01,15.43,0.01,14.67,0.01,J00034227-2822410,13.07,0.02,12.38,0.03,11.97,0.03,J000342.53-282242.7,11.71,0.02,11.52,0.02,11.01,0.12,17.19,0.01,0.927389,-28.378609,2012.528268,56120.45,285.8,1.5,-142.6,1.3,319.4,1.5,116.5,0.2,25.7,0.93,38.91,1.41,58.9,2.2
2MASS_J00044144-2058298    ,M8         ,                 ,M8             ,     ,      ,      ,    ,J001.1753-20.9747,20.85,0.06,19.15,0.01,16.41,0.01,14.94,0.01,14.06,0.01,J00044144-2058298,12.4,0.02,11.83,0.02,11.4,0.02,J000442.04-205828.9,11.06,0.02,10.75,0.02,10.27,0.07,     ,     ,1.17545,-20.974698,2011.822259,55862.58,751.9,1.9,91.9,2.5,757.5,1.9,83,0.2,      ,     ,18.94,3.14,68,11.3
2MASS_J00054844-2157196    ,M9         ,                 ,M9             ,     ,      ,      ,    ,J001.4543-21.9558,21.34,0.06,19.95,0.01,17.11,0.01,15.69,0.01,14.84,0.01,J00054844-2157196,13.27,0.03,12.62,0.02,12.2,0.03,J000549.00-215721.0,11.89,0.02,11.62,0.02,11.31,0.17,     ,     ,1.454361,-21.955894,2011.401752,55708.99,709.4,2.2,-122.9,2.5,720,2.2,99.8,0.2,      ,     ,25.43,4.22,86.8,14.4
ULAS_J000613.24+154020.7   ,           ,L9               ,L9             ,     ,      ,      ,    ,J001.5553+15.6723,     ,     ,     ,     ,     ,     ,21.05,0.08,19.87,0.06,                 ,     ,     ,     ,     ,     ,     ,J000613.26+154020.7,15.34,0.04,14.7,0.07,12.03,     ,     ,     ,1.555343,15.672398,2012.28616,56032.02,84.7,40.6,-38.5,20.4,93,35.6,114.4,21.4,      ,     ,43.24,5.35,19.1,7.7
SDSS_J000614.06+160454.5   ,L0         ,                 ,L0             ,     ,      ,      ,    ,J001.5586+16.0816,     ,     ,     ,     ,20.75,0.02,19.23,0.01,18.3,0.01,J00061406+1604546,16.59,0.13,15.84,0.16,15.09,0.16,J000614.06+160454.1,15.07,0.04,14.9,0.07,12.26,     ,     ,     ,1.55861,16.081685,2011.471102,55734.32,4.4,4.1,-41.8,3.9,42,3.9,174,5.6,      ,     ,103.52,17.46,20.6,4
2MASSI_J0006205-172051     ,L2.5       ,L3.0             ,L2.5           ,     ,      ,      ,    ,J001.5852-17.3474,     ,     ,22.49,0.1,20.26,0.01,18.83,0.01,17.8,0.01,J00062050-1720506,15.66,0.07,14.65,0.05,14.01,0.05,J000620.47-172050.7,13.47,0.03,13.18,0.03,12.33,0.41,20.53,0.02,1.585299,-17.347427,2011.396961,55707.24,-37.6,2.8,3.3,4,37.7,2.8,275,6.1,      ,     ,36.47,4.39,6.5,0.9
